date,home,away,home_score,away_score,division
2026-09-05,Alabama St.,Lane,34,0,FCS
2026-09-05,N.C. Central,Elizabeth City St.,27,6,FCS
2026-09-05,Southern U.,Kentucky St.,34,15,FCS
2026-09-05,Chattanooga,Tennessee Tech,9,24,FCS
2026-09-05,Old Dominion,Norfolk St.,31,10,FBS
2026-09-05,Rice,Houston Christian,31,3,FBS
2026-09-05,Ga. Southern,Charleston So.,31,0,FBS
2026-09-05,Utah St.,Idaho St.,17,29,FBS
2026-09-05,Texas Tech,Abilene Christian,33,10,FBS
2026-09-05,South Alabama,Southeastern La.,39,14,FBS
2026-09-05,Kansas St.,Nicholls,71,3,FBS
2026-09-05,Alabama A&M,Miles,38,23,FCS
2026-09-05,Eastern Wash.,UNI,34,24,FCS
2026-09-05,Western Ill.,Illinois St.,10,41,FCS
2026-09-05,Jackson St.,Edward Waters,66,14,FCS
2026-09-05,Grambling,Central St. (OH),48,26,FCS
2026-09-05,Vanderbilt,Austin Peay,28,9,FBS
2026-09-05,Central Ark.,West Florida,14,42,FCS
2026-09-05,Middle Tenn.,Murray St.,38,14,FBS
2026-09-05,McNeese,Texas Wesleyan,52,0,FCS
2026-09-05,Virginia Tech,VMI,73,3,FBS
2026-09-05,Louisiana Tech,Northwestern St.,80,6,FBS
2026-09-05,Sacramento St.,Mississippi Val.,52,0,FCS
2026-09-05,Louisiana,Lamar University,38,7,FBS
2026-09-05,Northwestern,South Dakota St.,34,18,FBS
2026-09-05,BYU,Utah Tech,63,7,FBS
2026-09-05,Maryland,Hampton,62,0,FBS
2026-09-05,SFA,East Texas A&M,44,7,FCS
2026-09-05,Cal Poly,Central Wash.,24,17,FCS
2026-09-05,Northern Colo.,South Dakota,23,38,FCS
2026-09-05,Southern Utah,Weber St.,47,42,FCS
2026-09-05,UT Martin,Chicago St.,42,7,FCS
2026-09-05,Montana St.,Butler,51,24,FCS
2026-09-05,Arizona St.,Morgan St.,70,7,FBS
2026-09-05,New Mexico St.,Mercyhurst,51,14,FBS
2026-09-05,San Diego St.,Portland St.,53,20,FBS
2026-09-05,Arizona,Northern Ariz.,35,7,FBS
2026-09-05,San Diego,UC Davis,17,49,FCS
2026-09-06,Campbell,Western Caro.,28,19,FCS
2026-09-06,Prairie View,Texas Southern,52,14,FCS
2026-09-06,Florida A&M,South Carolina St.,13,31,FCS
2026-08-27,Morehead St.,Ohio Dominican,40,42,FCS
2026-08-27,Tusculum,Bluefield St.,42,7,D2
2026-08-27,UIndy,Marian (IN),39,7,D2
2026-08-27,Ky. Christian,Ky. Wesleyan,44,24,D3
2026-08-27,UNC Pembroke,Wingate,21,13,D2
2026-08-27,Texas Wesleyan,Central Okla.,7,59,D2
2026-08-27,Slippery Rock,Minn. Duluth,45,43,D2
2026-08-27,Charleston (WV),Grand Valley St.,10,38,D2
2026-08-27,Virginia St.,Barton,44,17,D2
2026-08-27,Elon,Glenville St.,42,7,FCS
2026-08-27,St. Thomas (MN),Winona St.,15,9,FCS
2026-08-27,Presbyterian,UVA Wise,47,37,FCS
2026-08-27,Davidson,Concord,35,41,FCS
2026-08-27,Furman,Anderson (SC),20,3,FCS
2026-08-27,Carson-Newman,Tiffin,41,38,D2
2026-08-27,Sioux Falls,Black Hills St.,21,24,D2
2026-08-27,Bemidji St.,Michigan Tech,29,31,D2
2026-08-27,Valdosta St.,Emory & Henry,38,10,D2
2026-08-27,Concordia-St. Paul,Quincy,38,21,D2
2026-08-27,Seton Hill,East Stroudsburg,20,27,D2
2026-08-27,Southwest Baptist,William Woods,63,6,D2
2026-08-27,Saginaw Valley,McKendree,48,24,D2
2026-08-27,MSU Moorhead,Northern Mich.,41,19,D2
2026-08-27,Minot St.,Emporia St.,30,36,D2
2026-08-27,Northern St.,Chadron St.,42,17,D2
2026-08-27,Neb.-Kearney,Wayne St. (NE),20,21,D2
2026-08-27,West Liberty,Walsh,27,30,D2
2026-08-27,Drake,South Dakota Mines,35,38,FCS
2026-08-27,Rocky Mountain,Mary,10,23,D2
2026-08-27,N.M. Highlands,Eastern N.M.,35,34,D2
2026-08-27,CSU Pueblo,Central Mo.,44,25,D2
2026-08-27,Missouri Western,Augustana (SD),58,63,D2
2026-08-27,Colorado Mesa,Minnesota St.,14,38,D2
2026-08-27,Angelo St.,Fort Hays St.,14,35,D2
2026-08-27,Southwest Minn. St.,Valley City St.,10,7,D2
2026-08-27,West Tex. A&M,Western Colo.,21,52,D2
2026-08-27,Adams St.,Western N.M.,45,62,D2
2026-08-27,Pittsburg St.,Ferris St.,14,42,D2
2026-08-28,Lenoir-Rhyne,Virginia Union,45,3,D2
2026-08-28,Northeastern St.,Delta St.,52,0,D2
